TRACT,WALK_SCORE,BIKE_SCORE,DEMOGRAPHIC_SCORE,CRIME_SCORE,LIBRARY_COUNT
153105,205.5,226.5,266.5,23.5,144
153106,204,222,109.5,382,144
153107,173,260,17,210.5,271.5
154100,231.5,256,109.5,23.5,34.5
154200,190.5,231,390.5,63.5,144
154300,182.5,268,320.5,40.5,271.5
154400,266.5,263,154.5,23.5,34.5
154501,225.5,107.5,154.5,263.5,144
154502,173,107.5,154.5,351.5,144
154601,131,215.5,320.5,382,144
154603,217,107.5,207,351.5,271.5
154604,157.5,107.5,68,351.5,144
154700,176.5,274.5,109.5,351.5,271.5
155101,66,107.5,154.5,210.5,144
155102,107,107.5,35,405,144
156101,39.5,107.5,320.5,210.5,34.5
156102,14,107.5,428,12,144
160100,376.5,107.5,207,103.5,271.5
160200,376.5,107.5,207,103.5,271.5
160300,363,107.5,266.5,312,144
160400,425,107.5,109.5,263.5,271.5
160500,385,107.5,320.5,210.5,271.5
160601,385,244.5,207,312,144
160602,405.5,107.5,266.5,156,271.5
160700,320.5,107.5,320.5,156,271.5
160800,314.5,107.5,320.5,63.5,271.5
160900,404,107.5,266.5,103.5,271.5
161000,397,107.5,320.5,103.5,271.5
161100,393,229,266.5,63.5,271.5
161200,442,229,207,40.5,271.5
161300,444,107.5,154.5,63.5,271.5
161400,445,107.5,266.5,40.5,271.5
161500,443,107.5,109.5,210.5,352.5
161600,440,107.5,207,210.5,352.5
161700,434.5,237.5,266.5,103.5,271.5
161800,430,260,266.5,156,271.5
170101,101.5,107.5,68,23.5,144
170102,114,107.5,68,382,144
170201,100,107.5,207,103.5,144
170202,103.5,107.5,68,263.5,34.5
171102,182.5,107.5,360.5,12,271.5
171103,120.5,248,266.5,103.5,144
171104,111.5,244.5,207,263.5,34.5
171203,214.5,107.5,360.5,103.5,271.5
171204,141,107.5,266.5,23.5,144
171205,150,107.5,207,40.5,144
171206,150,107.5,207,40.5,34.5
172101,139,107.5,154.5,439,34.5
172102,164.5,107.5,109.5,405,34.5
172103,118,107.5,154.5,382,34.5
172201,159.5,107.5,154.5,382,34.5
172202,159.5,107.5,154.5,382,34.5
173103,98,107.5,390.5,439,144
173104,135,107.5,412,439,271.5
173105,74,107.5,390.5,419.5,144
173106,83.5,107.5,266.5,430,144
173107,76,107.5,266.5,156,271.5
174103,51,107.5,320.5,351.5,144
174104,69,107.5,207,156,144
174105,129.5,107.5,109.5,23.5,144
174106,155.5,107.5,154.5,103.5,34.5
174107,194.5,107.5,207,312,144
174203,53,107.5,360.5,351.5,34.5
174204,49,107.5,320.5,351.5,144
174205,93.5,107.5,266.5,103.5,144
174206,135,107.5,266.5,23.5,144
174207,170.5,107.5,207,156,34.5
175103,7.5,107.5,266.5,312,34.5
175104,18.5,107.5,266.5,210.5,144
175105,26.5,107.5,428,156,144
175106,26.5,107.5,428,156,144
175201,12,107.5,320.5,210.5,34.5
175202,13,107.5,446,156,34.5
176100,49,107.5,390.5,263.5,144
176200,73,107.5,390.5,210.5,144
177101,221,107.5,17,351.5,144
177103,199.5,107.5,68,263.5,34.5
177104,235,107.5,266.5,103.5,34.5
177201,211,107.5,207,263.5,144
177202,263,234,360.5,156,144
177302,110,107.5,320.5,430,144
177303,243,264,428,382,144
177304,211,241.5,360.5,430,144
177403,173,107.5,154.5,382,271.5
177404,176.5,107.5,207,439,271.5
177405,164.5,107.5,207,263.5,144
177406,211,107.5,207,263.5,271.5
177501,137.5,107.5,68,351.5,144
177503,32,107.5,390.5,405,34.5
177504,33,107.5,320.5,419.5,34.5
177505,10,107.5,428,210.5,34.5
177604,101.5,107.5,266.5,312,34.5
177605,57,107.5,320.5,382,34.5
177606,113,107.5,207,351.5,144
177607,58,107.5,68,210.5,34.5
177608,85,107.5,154.5,419.5,144
177609,20.5,107.5,360.5,312,34.5
178101,194.5,107.5,207,351.5,144
178102,233,107.5,109.5,382,144
178201,240,107.5,154.5,382,271.5
178204,221,107.5,154.5,263.5,271.5
178205,194.5,107.5,207,351.5,144
178206,162,107.5,320.5,382,144
179101,42,107.5,360.5,430,144
179102,16.5,107.5,390.5,351.5,144
180102,55.5,107.5,35,156,144
180103,39.5,107.5,390.5,103.5,34.5
180104,67.5,107.5,320.5,63.5,34.5
181100,356,107.5,266.5,103.5,144
181201,282.5,107.5,266.5,263.5,144
181203,322.5,107.5,154.5,210.5,144
181204,142.5,226.5,68,382,144
182103,98,107.5,428,351.5,144
182104,71,107.5,390.5,312,144
182105,29,107.5,444,263.5,144
182106,9,107.5,412,210.5,34.5
183100,247.5,265,428,312,403
183200,186.5,107.5,154.5,103.5,352.5
183300,152.5,107.5,35,210.5,271.5
183401,264,254,17,103.5,271.5
183402,257.5,266,68,103.5,352.5
183501,182.5,107.5,109.5,210.5,271.5
183502,197.5,107.5,35,263.5,352.5
183603,284.5,277,154.5,210.5,403
183604,237.5,247,266.5,263.5,352.5
183605,197.5,220.5,266.5,63.5,352.5
183606,199.5,220.5,266.5,156,352.5
184103,42,107.5,35,382,34.5
184104,42,107.5,68,210.5,34.5
184105,20.5,107.5,360.5,312,144
184106,22.5,107.5,320.5,351.5,144
184108,22.5,107.5,320.5,351.5,144
185101,176.5,107.5,154.5,7.5,144
185102,249,107.5,154.5,4.5,144
185103,260,107.5,35,4.5,271.5
185104,214.5,107.5,35,12,271.5
185201,303.5,107.5,8,40.5,352.5
185202,291.5,107.5,35,1.5,271.5
185203,257.5,107.5,154.5,1.5,271.5
186103,15,107.5,2.5,103.5,144
186104,37.5,107.5,109.5,210.5,34.5
186105,18.5,107.5,68,63.5,34.5
186106,52,107.5,154.5,210.5,144
186107,6,107.5,109.5,103.5,34.5
186201,16.5,107.5,35,103.5,144
186202,24.5,107.5,109.5,156,34.5
186203,24.5,107.5,266.5,156,34.5
186205,35.5,107.5,68,156,144
186206,37.5,107.5,109.5,156,34.5
187103,299,107.5,207,40.5,271.5
187104,235,107.5,68,263.5,271.5
187105,269.5,107.5,360.5,63.5,271.5
187106,145,107.5,68,103.5,271.5
188103,144,236,266.5,210.5,271.5
188104,162,253,207,312,144
188105,117,107.5,8,210.5,144
188106,123,107.5,68,156,144
188107,109,107.5,35,210.5,144
189105,92,107.5,320.5,210.5,34.5
189107,120.5,107.5,109.5,312,144
189108,71,107.5,109.5,103.5,144
189109,71,107.5,109.5,103.5,144
189110,61,107.5,412,312,144
189111,55.5,107.5,266.5,156,144
189112,157.5,107.5,35,156,144
190502,46,107.5,428,351.5,144
190503,62.5,107.5,412,156,144
190504,44,107.5,390.5,351.5,34.5
192300,90,251,439.5,210.5,34.5
192800,201.5,319,109.5,156,144
192900,103.5,107.5,207,210.5,34.5
193800,168,107.5,35,263.5,144
193900,140,107.5,109.5,40.5,144
194100,82,107.5,109.5,40.5,34.5
194300,98,107.5,154.5,351.5,144
194500,95.5,107.5,154.5,312,144
194800,46,107.5,266.5,419.5,144
194900,88,107.5,17,210.5,144
195600,54,107.5,154.5,23.5,34.5
195700,34,107.5,207,156,34.5
195800,60,107.5,266.5,312,34.5
195900,11,107.5,266.5,351.5,144
196000,246,107.5,266.5,419.5,352.5
196100,186.5,297,444,263.5,34.5
196200,127.5,107.5,266.5,405,144
196300,46,107.5,320.5,430,144
196400,166.5,284,266.5,210.5,271.5
196500,320.5,344.5,109.5,12,403
980100,338.5,404,154.5,63.5,403
980500,31,218,109.5,439,34.5
981100,79.5,232,428,405,144
