,tract,total_preschools_one_mile,total_preschools_five_mile,total_elementary_2.5_mile,total_good_elementary_2.5_mile,nearest_elementary_dist,PI_elementary,nearest_elementary,total_middle_2.5_mile,total_good_middle_2.5_mile,nearest_middle_dist,PI_middle,nearest_middle,total_High_2.5_mile,total_good_High_2.5_mile,nearest_High_dist,PI_High,nearest_High
190,121100,5,21,6,7,125,157,"('Charles Dickens School', (41.4561847, -81.59171359999999))",6,4,20,58,"('Chapelside Cleveland Academy', (41.4540529, -81.5905679))",10,6,19,58,"('John Adams High School', (41.4544124, -81.6016219))"
282,121200,4,21,8,9,122,157,"('Charles Dickens School', (41.4561847, -81.59171359999999))",6,4,5,58,"('Chapelside Cleveland Academy', (41.4540529, -81.5905679))",10,6,146,58,"('John Adams High School', (41.4544124, -81.6016219))"
62,121300,6,21,8,7,222,166,"('Miles Park School', (41.4482709, -81.62155600000001))",5,4,248,58,"('Chapelside Cleveland Academy', (41.4540529, -81.5905679))",13,7,186,58,"('John Adams High School', (41.4544124, -81.6016219))"
8,121401,5,20,10,10,145,143,"('Harvard Avenue Community School', (41.4481013, -81.59844129999999))",6,4,46,58,"('Chapelside Cleveland Academy', (41.4540529, -81.5905679))",11,6,150,58,"('John Adams High School', (41.4544124, -81.6016219))"
283,121403,5,21,12,9,187,149,"('Miles School', (41.4445923, -81.5992596))",6,4,129,58,"('Chapelside Cleveland Academy', (41.4540529, -81.5905679))",12,7,254,58,"('John Adams High School', (41.4544124, -81.6016219))"
191,121500,4,22,11,10,20,162,"('Robert H Jamison School', (41.4489284, -81.5805284))",5,3,95,53,"('Chapelside Cleveland Academy', (41.4540529, -81.5905679))",12,7,226,53,"('John F Kennedy High School', (41.44893270000001, -81.5603283))"
284,121700,6,21,15,12,271,153,"('Charles W Eliot  School', (41.44562929999999, -81.570441))",5,3,279,53,"('Chapelside Cleveland Academy', (41.4540529, -81.5905679))",12,6,50,53,"('John F Kennedy High School', (41.44893270000001, -81.5603283))"
408,121800,4,22,18,15,18,145,"('Adlai Stevenson School', (41.454660100000005, -81.55096879999999))",5,3,179,19,"('Warrensville Heights Middle School', (41.4435489, -81.53521579999999))",13,7,39,19,"('Whitney Young School', (41.4487351, -81.5528087))"
428,121900,5,23,14,12,5,153,"('Charles W Eliot  School', (41.44562929999999, -81.570441))",6,3,236,53,"('Chapelside Cleveland Academy', (41.4540529, -81.5905679))",11,5,100,53,"('John F Kennedy High School', (41.44893270000001, -81.5603283))"
63,122100,6,24,16,13,320,145,"('Adlai Stevenson School', (41.454660100000005, -81.55096879999999))",5,2,173,19,"('Warrensville Heights Middle School', (41.4435489, -81.53521579999999))",10,5,44,19,"('Whitney Young School', (41.4487351, -81.5528087))"
192,122200,6,23,15,10,323,153,"('Charles W Eliot  School', (41.44562929999999, -81.570441))",4,1,343,53,"('Chapelside Cleveland Academy', (41.4540529, -81.5905679))",11,5,300,53,"('John F Kennedy High School', (41.44893270000001, -81.5603283))"
92,122300,6,24,17,12,398,153,"('Charles W Eliot  School', (41.44562929999999, -81.570441))",5,2,288,53,"('Warrensville Heights Middle School', (41.4435489, -81.53521579999999))",11,5,286,53,"('John F Kennedy High School', (41.44893270000001, -81.5603283))"
285,123100,4,13,17,19,257,4,"('Menlo Park Academy', (41.4613842, -81.79553259999999))",2,4,133,17,"('Harding Middle School', (41.4767027, -81.8125869))",12,8,334,17,"('Lakewood High School', (41.48121939999999, -81.7920542))"
376,123200,5,12,15,16,55,4,"('Menlo Park Academy', (41.4613842, -81.79553259999999))",3,4,251,40,"('Constellation Schools: Puritas Community Middle', (41.451618100000005, -81.8122006))",13,8,264,40,"('John Marshall High School', (41.4474078, -81.79126120000001))"
286,123400,6,11,18,19,262,107,"('Newton D Baker School', (41.453104100000004, -81.8114585))",2,4,82,40,"('Constellation Schools: Puritas Community Middle', (41.451618100000005, -81.8122006))",14,9,380,40,"('John Marshall High School', (41.4474078, -81.79126120000001))"
208,123501,5,15,17,16,123,134,"('McKinley School', (41.461659000000004, -81.774703))",3,4,230,39,"('Constellation Schools: Westside Community School of the Arts', (41.451757, -81.763283))",13,8,305,39,"('New Technology West', (41.448097, -81.7695879))"
64,123502,5,11,15,16,93,4,"('Menlo Park Academy', (41.4613842, -81.79553259999999))",3,4,125,40,"('Constellation Schools: Puritas Community Middle', (41.451618100000005, -81.8122006))",12,7,176,40,"('John Marshall High School', (41.4474078, -81.79126120000001))"
287,123601,4,16,20,18,319,34,"('Constellation Schools: Puritas Community Elementary', (41.451618100000005, -81.8122006))",4,4,103,40,"('Constellation Schools: Puritas Community Middle', (41.451618100000005, -81.8122006))",14,8,290,40,"('John Marshall High School', (41.4474078, -81.79126120000001))"
360,123602,6,14,19,20,234,68,"('Douglas MacArthur', (41.43512, -81.833189))",3,4,221,40,"('Constellation Schools: Puritas Community Middle', (41.451618100000005, -81.8122006))",15,9,419,40,"('John Marshall High School', (41.4474078, -81.79126120000001))"
