,TRACT,MIN_DOWN,MEDIAN_DOWN,MAX_DOWN,library_in_1.5_miles_count
331,152102,2,6,50,1
332,152302,0.768,6,50,0
333,153106,0.768,5,50,1
334,154603,0.768,6,50,2
335,161800,0.768,6,50,2
336,174104,0.768,6,50,1
337,175104,0.768,6,50,1
338,177303,2,6,50,1
339,177505,0.768,6,50,0
340,177604,0.768,5,50,0
341,179101,0.768,5,75,1
342,180104,0.768,6,75,0
343,183606,0.768,6,75,3
344,186203,0.768,5,75,0
345,188103,0.768,6,50,2
346,189105,2,10.5,75,0
347,190503,1.5,6,50,1
348,193800,0.768,6,50,1
349,101300,0.768,6,75,4
350,104100,2,6,75,4
351,104600,1.5,6,75,6
352,105400,0.768,6,75,5
353,106600,0.768,6,50,2
354,113500,2,6,50,5
355,115400,2,10.5,50,2
356,116900,0.768,6,50,3
357,117101,0.768,6,50,2
358,118800,2,6,50,4
359,119300,2,6,50,2
360,123602,2,6,50,2
361,127501,0.768,6,50,3
362,135106,0.768,5,75,0
363,141200,0.768,5,50,2
364,141601,0.768,6,75,1
365,150400,0.768,6,75,3
366,105100,0.768,6,50,4
367,137102,0.768,5,50,1
368,153103,0.768,5,50,1
369,196400,0.768,6,75,2
370,104900,0.768,6,75,4
371,106900,0.768,6,50,1
372,111202,0.768,5,50,2
373,114501,0.768,5,50,4
374,118700,0.768,5,50,4
375,120400,0.768,6,50,3
376,123200,0.768,6,50,3
377,134206,0.768,5,50,1
378,140302,0.768,6,50,1
379,161100,0.768,6,50,2
380,171203,0.768,6,50,2
381,174204,0.768,6,50,1
382,178205,2,6,50,1
383,186103,2,6,50,1
384,187106,0.768,6,50,2
385,189108,0.768,5,50,1
386,190504,0.768,5,75,0
387,141100,0.768,6,75,3
388,110901,0.768,6,75,1
389,112500,0.768,5,50,4
390,116100,0.768,6,1000,2
391,117202,0.768,5,75,2
392,119702,0.768,6,75,4
393,177101,2,6,75,1
394,171104,0.768,3.5,50,0
395,173103,0.768,6,75,1
396,174203,0.768,5,75,0
397,176200,0.768,5,75,1
398,178101,0.768,6,75,1
399,182103,0.768,6,75,1
400,102101,0.768,6,75,3
401,175105,2,6,75,1
402,186205,0.768,5,75,1
403,140301,0.768,5,50,2
