,tract,total_preschools_one_mile,total_preschools_five_mile,total_elementary_2.5_mile,total_good_elementary_2.5_mile,nearest_elementary_dist,PI_elementary,nearest_elementary,total_middle_2.5_mile,total_good_middle_2.5_mile,nearest_middle_dist,PI_middle,nearest_middle,total_High_2.5_mile,total_good_High_2.5_mile,nearest_High_dist,PI_High,nearest_High
10,135103,0,3,4,0,0.5603497458415841,109.789,"('Hilton Elementary School', (41.3273457, -81.63578000000001))",1,0,0.6044610903017346,111.238,"('Brecksville-Broadview Heights Middle School', (41.329547600000005, -81.64285129999999))",1,0,0.7504048649603532,111.238,"('Brecksville-Broadview Heights High School', (41.327271200000006, -81.6437947))"
11,138106,0,5,4,1,0.6093100237877802,102.71799999999999,"('Brook Park Memorial Elementary School', (41.395858000000004, -81.817727))",2,0,0.6569351697407804,101.944,"('Ford Intermediate School', (41.3935777, -81.8178248))",1,0,1.8829646236535875,101.944,"('Berea-Midpark High School', (41.3732823, -81.8451512))"
12,140702,0,18,18,10,0.5692232270332505,102.852,"('Boulevard Elementary School', (41.5122674, -81.5663177))",3,1,1.6978402382693942,91.805,"('Roxboro Middle School', (41.49416110000001, -81.59005859999999))",4,1,1.6449796588080794,91.805,"('Cleveland Heights High School', (41.4998796, -81.5298547))"
13,150300,0,20,20,17,0.1572697582391532,70.038,"('Mayfair Elementary School', (41.5339842, -81.585151))",2,1,2.0551890506820287,82.14299999999999,"('Monticello Middle School', (41.53078370000001, -81.5487814))",6,6,0.741865443469226,82.14299999999999,"('Shaw High School', (41.5367159, -81.5741014))"
14,152603,0,5,10,6,0.7109124014543429,87.79700000000001,"('Chardon Hills Elementary School', (41.5695073, -81.51959000000001))",2,1,1.0702296300443535,92.516,"('Euclid Central Middle School', (41.5695433, -81.5360939))",4,2,1.0148364838542008,92.516,"('Noble Academy-Cleveland', (41.576758, -81.5397481))"
15,152701,0,8,12,9,0.5311710070212504,68.188,"('Hannah Gibbons-Nottingham Elementary School', (41.569648, -81.55250500000001))",2,1,0.4751917985699042,92.516,"('Euclid Central Middle School', (41.5695433, -81.5360939))",6,4,0.7899731093654886,92.516,"('Noble Academy-Cleveland', (41.576758, -81.5397481))"
16,160200,1,10,5,1,0.21956909479327003,91.12100000000001,"('Horace Mann Elementary School', (41.4892036, -81.8219393))",2,0,0.8558370062641899,102.204,"('Harding Middle School', (41.4767027, -81.8125869))",2,0,1.4276809049751982,102.204,"('Lakewood High School', (41.48121939999999, -81.7920542))"
17,160800,0,13,8,1,0.5816797804265035,91.12100000000001,"('Horace Mann Elementary School', (41.4892036, -81.8219393))",5,1,0.6834983758654584,112.262,"('Harding Middle School', (41.4767027, -81.8125869))",2,0,1.474348708790851,112.262,"('Rocky River High School', (41.473676399999995, -81.85114920000001))"
18,171103,0,8,9,6,1.4331928864332695,77.429,"('Barack Obama School', (41.398255799999994, -81.5726938))",3,3,1.3624699486176943,82.58,"('Milkovich Middle School', (41.414935799999995, -81.54010140000001))",6,3,0.4439726595320395,82.58,"('Maple Heights High School', (41.4129122, -81.5614395))"
19,173104,0,6,3,0,0.9970344402426042,105.837,"('Big Creek Elementary School', (41.3673674, -81.8088984))",2,0,0.8611507169825264,101.944,"('Middleburg Heights Junior High', (41.3784354, -81.8039891))",1,0,1.335293737309108,101.944,"('Berea-Midpark High School', (41.3732823, -81.8451512))"
20,177103,0,10,9,2,0.44290927222579063,94.92200000000001,"('Ridge-Brook Elementary School', (41.415957, -81.739254))",2,0,1.3182817303265433,99.382,"('Brooklyn Middle School', (41.4307373, -81.7485671))",7,4,1.3170394240090146,99.382,"('Brooklyn High School', (41.4305769, -81.7499083))"
21,177406,0,9,9,1,0.729593894307405,101.96700000000001,"('Global Village Academy', (41.406589000000004, -81.711048))",3,0,1.3615065150343055,98.86200000000001,"('Shiloh Middle School', (41.3956619, -81.6970824))",4,2,0.05585485913716159,98.86200000000001,"('Constellation Schools: Parma Community', (41.4002222, -81.72147))"
22,181201,1,9,7,0,0.23482013166592888,113.325,"('Goldwood Primary Elementary School', (41.46062379999999, -81.8593428))",2,0,1.4408330500779518,112.262,"('Rocky River Middle School', (41.475781, -81.842398))",1,0,1.0195105493262895,112.262,"('Rocky River High School', (41.473676399999995, -81.85114920000001))"
23,183501,0,15,13,7,0.8914566310765797,104.59299999999999,"('Fernway Elementary School', (41.47078, -81.557343))",3,1,0.6927004215832182,99.42399999999999,"('Shaker Hts Middle School', (41.4771695, -81.53185))",6,2,1.4711319916407777,99.42399999999999,"('Shaker Hts High School', (41.47322, -81.568149))"
24,185103,0,11,13,7,0.5162282526546175,97.385,"('Adrian Elementary School', (41.5311063, -81.52604529999999))",2,1,1.0513168122040013,95.529,"('Memorial Junior High School', (41.5258261, -81.5078735))",2,0,1.181372697097179,95.529,"('Brush High School', (41.5220323, -81.5052972))"
25,189111,0,3,5,0,0.5162389213193064,111.01700000000001,"('Bassett Elementary School', (41.4564178, -81.94266))",1,0,1.1480891059182599,96.32799999999999,"('Lee Burneson Middle School', (41.4547027, -81.9247752))",2,0,0.8452047615935463,96.32799999999999,"('Albert Einstein Academy for Letters', (41.4373765, -81.949449))"
26,194300,0,3,3,0,0.7221155563141342,103.32600000000001,"('Mayfield Center Elementary School', (41.539986799999994, -81.4401733))",1,0,1.4383622474366509,106.45700000000001,"('Mayfield Middle School', (41.5297553, -81.4377439))",1,0,1.332026770880093,106.45700000000001,"('Mayfield High School', (41.5365444, -81.45948299999999))"
27,101700,1,22,19,13,0.09952962557893802,83.848,"('Constellation Schools: Madison Community Elementary', (41.4767784, -81.74817709999999))",2,1,1.8105768780146432,74.303,"('Constellation Schools: Westside Community School of the Arts', (41.451757, -81.763283))",6,3,1.0402561135128996,74.303,"('Max S Hayes High School', (41.4712041, -81.7287328))"
28,102401,1,26,19,13,0.4178611840187137,67.316,"('Almira', (41.4616658, -81.75169759999999))",3,1,1.1650726177918584,74.303,"('Constellation Schools: Westside Community School of the Arts', (41.451757, -81.763283))",7,4,1.091349723166605,74.303,"('Max S Hayes High School', (41.4712041, -81.7287328))"
29,103100,0,22,20,14,0.5253515170250096,96.31,"('Near West Intergenerational School', (41.485141399999996, -81.7139831))",2,2,1.482601887079807,88.885,"('Lincoln Park Academy', (41.467426, -81.712685))",6,4,0.4834769217158504,88.885,"('Garrett Morgan Schl Of Science School', (41.484533899999995, -81.71512159999999))"
30,103900,5,23,20,15,0.25242389414577043,69.227,"('Paul L Dunbar Elementary School', (41.48093, -81.7045812))",2,2,0.7880415399390837,88.885,"('Lincoln Park Academy', (41.467426, -81.712685))",6,4,0.7240573204876665,88.885,"('Garrett Morgan Schl Of Science School', (41.484533899999995, -81.71512159999999))"
31,108701,1,17,15,12,0.1608701693758459,58.193000000000005,"('Marion-Sterling Elementary School', (41.4974816, -81.66554029999999))",5,3,1.0586409130780354,65.995,"('Cleveland Entrepreneurship Preparatory School', (41.5136256, -81.6665337))",11,7,0.30003551884200597,65.995,"('Jane Addams Business Careers High School', (41.49492, -81.665971))"
32,110801,1,13,23,17,0.3878025112183961,65.458,"('Willow School', (41.4753136, -81.65618719999999))",2,1,0.38530573423234643,75.258,"('Broadway Academy', (41.4656044, -81.6522654))",6,5,1.6174750440711456,75.258,"('New Technology HS@East Tech', (41.492503799999994, -81.64976309999999))"
33,111902,2,21,16,12,0.058600446706834404,69.62899999999999,"('Willson School', (41.524029, -81.628387))",3,1,1.1491858954206964,73.877,"('Citizens Leadership Academy', (41.5089964, -81.61911629999999))",13,6,1.1677064760885032,73.877,"('Health Careers Center High School', (41.509793, -81.63866800000001))"
34,112800,1,23,21,16,0.41041392989918407,58.611999999999995,"('Mary B Martin School', (41.508245, -81.629979))",4,2,0.971560844058234,73.877,"('Citizens Leadership Academy', (41.5089964, -81.61911629999999))",14,7,0.23208267717436382,73.877,"('Health Careers Center High School', (41.509793, -81.63866800000001))"
35,114100,1,20,23,17,0.7640689879465911,63.768,"('Buckeye-Woodland School', (41.4839348, -81.619176))",6,2,1.5040392377611984,75.258,"('Citizens Leadership Academy', (41.5089964, -81.61911629999999))",14,7,0.9484126824112158,75.258,"('New Technology HS@East Tech', (41.492503799999994, -81.64976309999999))"
36,116300,2,16,17,14,0.3836069669538933,63.604,"('Iowa-Maple Elementary School', (41.5470126, -81.597939))",0,0,1.7976931348623157e+308,70.505,(),7,6,0.44008362045833027,70.505,"('Glenville High School', (41.539004299999995, -81.606617))"
37,117500,0,13,15,13,0.659138102677043,59.016999999999996,"('East Clark', (41.5557691, -81.5800349))",2,1,1.8484167519784287,73.684,"('Monticello Middle School', (41.53078370000001, -81.5487814))",7,6,0.34145866690142507,73.684,"('Collinwood High School', (41.553103, -81.574253))"
38,118301,0,22,25,18,0.23061638958686798,66.835,"('Wade Park', (41.513975200000004, -81.61287890000001))",2,0,0.6770073943117338,113.59,"('Citizens Leadership Academy', (41.5089964, -81.61911629999999))",9,3,1.05644420519417,113.59,"('John Hay Early College High School', (41.5019583, -81.61172579999999))"
39,119401,2,19,27,18,0.1414792881627599,67.295,"('Sunbeam', (41.489989, -81.600838))",4,1,0.535157893838778,88.59,"('Roxboro Middle School', (41.49416110000001, -81.59005859999999))",8,2,0.38029456837464315,88.59,"('HBCU Preparatory School 1', (41.4844347, -81.5950935))"
40,155102,1,4,6,0,0.43056029267995144,100.689,"('Millridge Hearing Center', (41.535446, -81.476516))",2,0,1.9961301482891665,106.45700000000001,"('Memorial Junior High School', (41.5258261, -81.5078735))",3,1,0.9094124205140216,106.45700000000001,"('Mayfield High School', (41.5365444, -81.45948299999999))"
41,160300,0,8,4,0,0.6840926453947572,91.12100000000001,"('Horace Mann Elementary School', (41.4892036, -81.8219393))",2,0,0.9713098997003337,102.204,"('Harding Middle School', (41.4767027, -81.8125869))",3,1,1.0822471728703715,102.204,"('Lakewood High School', (41.48121939999999, -81.7920542))"
42,161000,0,13,8,2,0.671677971833854,91.12100000000001,"('Horace Mann Elementary School', (41.4892036, -81.8219393))",5,1,0.33542751169038487,102.204,"('Harding Middle School', (41.4767027, -81.8125869))",3,1,1.1483927575598822,102.204,"('Lakewood High School', (41.48121939999999, -81.7920542))"
43,161500,1,18,14,7,0.8697161169088933,96.833,"('Emerson Elementary School', (41.4900961, -81.784577))",5,1,1.4948224862920123,102.204,"('Harding Middle School', (41.4767027, -81.8125869))",4,1,0.49892458997922695,102.204,"('Lakewood High School', (41.48121939999999, -81.7920542))"
44,170102,0,6,10,0,0.6563859411183649,102.10799999999999,"('Millridge Elementary School', (41.5350898, -81.47638570000001))",2,0,1.157464199527855,95.529,"('Memorial Junior High School', (41.5258261, -81.5078735))",3,1,1.1092534641144534,95.529,"('Brush High School', (41.5220323, -81.5052972))"
45,171204,0,6,7,3,0.8537389043544432,77.429,"('Barack Obama School', (41.398255799999994, -81.5726938))",2,2,1.3902273324568815,82.58,"('Milkovich Middle School', (41.414935799999995, -81.54010140000001))",4,2,0.3288626554923862,82.58,"('Maple Heights High School', (41.4129122, -81.5614395))"
46,173105,0,4,5,0,0.8965237140415973,103.43299999999999,"('Whitney Elementary School', (41.344397, -81.79040690000001))",2,0,1.5688923532498584,95.166,"('Middleburg Heights Junior High', (41.3784354, -81.8039891))",1,0,2.200319096151872,95.166,"('Valley Forge High School', (41.3720144, -81.7556287))"
47,174105,0,4,8,0,0.3853102545440797,96.079,"('Pine  School', (41.427771500000006, -81.9196337))",2,0,0.6465301777109632,105.603,"('North Olmsted Middle School', (41.416638299999995, -81.91906469999999))",2,0,1.4334891399339333,105.603,"('North Olmsted High School', (41.4062671, -81.9253875))"
48,177404,0,3,7,0,0.5197268789131458,97.51899999999999,"('Renwood Elementary School', (41.3975396, -81.74019969999999))",2,0,1.8564459015194883,94.89200000000001,"('Greenbriar Middle School', (41.3964556, -81.7743444))",5,2,1.0030208098553817,94.89200000000001,"('Parma High School', (41.3925934, -81.7206631))"
49,177605,0,4,5,0,1.0945500867012692,99.775,"('Pleasant Valley Elementary School', (41.3651245, -81.7540916))",2,0,2.1974988169967813,95.166,"('Middleburg Heights Junior High', (41.3784354, -81.8039891))",1,0,1.3389826451637192,95.166,"('Valley Forge High School', (41.3720144, -81.7556287))"
50,178204,0,4,4,0,0.8671504961288444,99.775,"('Pleasant Valley Elementary School', (41.3651245, -81.7540916))",1,0,1.687666066139687,95.166,"('Greenbriar Middle School', (41.3964556, -81.7743444))",5,2,0.40607656050534524,95.166,"('Valley Forge High School', (41.3720144, -81.7556287))"
51,180102,0,7,8,3,0.9046344022418498,84.554,"('Richmond Heights Elementary School', (41.5547732, -81.49289759999999))",3,1,1.5222437643460638,82.60799999999999,"('Memorial Junior High School', (41.5258261, -81.5078735))",2,1,0.8392445863428382,82.60799999999999,"('Richmond Heights Secondary School', (41.5552085, -81.49482049999999))"
52,182104,0,2,3,0,1.7120578844864338,95.711,"('John Muir Elementary School', (41.4111098, -81.69681109999999))",3,0,1.2110477409723237,111.241,"('Shiloh Middle School', (41.3956619, -81.6970824))",3,0,1.84401807774614,111.241,"('Independence High School', (41.3741954, -81.64907020000001))"
53,183300,1,15,12,5,1.1265069989983882,81.222,"('Gearity Professional Development School', (41.4954999, -81.5259121))",2,0,0.5509894625394336,108.96600000000001,"('Shaker Hts Middle School', (41.4771695, -81.53185))",3,0,1.1019016624091365,108.96600000000001,"('Beachwood High School', (41.4840561, -81.5013459))"
54,183605,0,14,14,8,0.7317845789490085,68.009,"('Adlai Stevenson School', (41.454660100000005, -81.55096879999999))",3,1,1.197010106670947,101.243,"('Shaker Hts Middle School', (41.4771695, -81.53185))",4,2,1.0827668517574645,101.243,"('Whitney Young School', (41.4487351, -81.5528087))"
