TRACT,WALK_SCORE,TRANSIT_SCORE,BIKE_SCORE
190502,19.166666666666668,24.0,23.0
192300,28.166666666666668,25.333333333333332,31.0
192800,43.166666666666664,40.0,43.666666666666664
192900,30.666666666666668,24.0,23.0
194800,19.166666666666668,24.0,23.0
195900,10.833333333333334,24.0,23.0
112100,61.0,42.166666666666664,52.666666666666664
101102,58.5,52.5,45.0
102102,45.166666666666664,31.666666666666668,41.833333333333336
102700,68.33333333333333,49.5,54.833333333333336
103400,73.83333333333333,56.5,62.833333333333336
103602,65.0,57.666666666666664,62.333333333333336
104300,62.0,49.666666666666664,60.666666666666664
104400,59.666666666666664,47.833333333333336,62.833333333333336
104800,51.833333333333336,44.0,57.666666666666664
105500,59.666666666666664,40.5,51.0
105602,57.0,39.5,54.5
105700,52.666666666666664,33.5,52.666666666666664
106300,65.0,37.666666666666664,55.833333333333336
106400,65.16666666666667,36.666666666666664,52.333333333333336
106500,61.333333333333336,32.166666666666664,41.166666666666664
107101,64.16666666666667,59.333333333333336,53.333333333333336
108201,68.5,44.0,57.666666666666664
110501,44.0,61.5,44.0
111800,60.833333333333336,42.166666666666664,60.5
112600,59.166666666666664,48.333333333333336,58.0
113801,40.833333333333336,61.666666666666664,37.5
115200,68.5,46.333333333333336,59.166666666666664
115900,42.333333333333336,36.666666666666664,40.833333333333336
116200,46.0,40.5,44.5
117201,54.166666666666664,39.0,53.666666666666664
117600,58.0,37.0,48.5
118200,62.666666666666664,51.833333333333336,56.333333333333336
119100,69.33333333333333,64.33333333333333,56.666666666666664
119501,64.66666666666667,48.333333333333336,46.833333333333336
119800,55.333333333333336,48.0,45.5
120801,51.833333333333336,42.666666666666664,40.166666666666664
121100,55.333333333333336,44.166666666666664,45.0
121500,53.333333333333336,45.333333333333336,43.0
122200,38.333333333333336,36.666666666666664,41.833333333333336
123700,35.5,39.666666666666664,31.0
124100,55.5,40.833333333333336,48.0
124202,43.333333333333336,42.166666666666664,40.833333333333336
131102,38.5,24.0,23.0
132100,32.166666666666664,24.0,23.0
132301,32.833333333333336,24.0,23.0
134203,28.333333333333332,24.0,23.0
136102,9.166666666666666,24.0,23.0
138108,23.666666666666668,24.0,23.0
140600,66.0,24.0,23.0
140900,58.833333333333336,24.0,23.0
