TRACT,WALK_SCORE,BIKE_SCORE,DEMOGRAPHIC_SCORE,CRIME_SCORE,LIBRARY_COUNT
108301,68.33333333333333,57.666666666666664,3.5,2.6666666666666665,2
108400,65,58,3.6666666666666665,2.5,2
108701,69.5,55.666666666666664,3.1666666666666665,2.1666666666666665,2
109301,73.16666666666667,53.333333333333336,3.5,2.3333333333333335,4
109701,55.666666666666664,49.5,3,2.5,4
109801,50.333333333333336,43.333333333333336,2.6666666666666665,2,3
110501,44,44,2.3333333333333335,2.1666666666666665,4
110801,47.166666666666664,52.5,2.5,3,3
110901,56.5,59.5,2.8333333333333335,2.8333333333333335,1
111202,61.666666666666664,60.666666666666664,3,3.8333333333333335,2
111401,59,62.833333333333336,2.8333333333333335,3.1666666666666665,4
111500,64.33333333333333,55.333333333333336,3.5,3.6666666666666665,3
111600,64.5,55,3.8333333333333335,3.1666666666666665,3
111700,63.833333333333336,58.666666666666664,3.1666666666666665,4,3
111800,60.833333333333336,60.5,3.6666666666666665,3.1666666666666665,3
111902,59.166666666666664,60.166666666666664,3.1666666666666665,3,3
112100,61,52.666666666666664,3.8333333333333335,3,3
112200,55.5,56.166666666666664,2.5,3.1666666666666665,4
112301,66.16666666666667,57.333333333333336,3,2.8333333333333335,4
112400,57.166666666666664,50.833333333333336,2.8333333333333335,3,4
112500,58,52.5,2.3333333333333335,2.3333333333333335,4
112600,59.166666666666664,58,2.3333333333333335,2.5,4
112800,61.166666666666664,51.666666666666664,2.1666666666666665,2.8333333333333335,5
113101,66.33333333333333,52.5,2.5,2.5,5
113500,59.166666666666664,48.5,2.8333333333333335,1.6666666666666667,5
113600,53.5,48.833333333333336,2.1666666666666665,2.5,4
113801,40.833333333333336,37.5,2.5,1.5,3
114100,50,41.833333333333336,2.6666666666666665,1.8333333333333333,3
114300,36,34.833333333333336,2.5,2.3333333333333335,3
114501,49.666666666666664,41.166666666666664,3.1666666666666665,3.6666666666666665,4
114600,41.5,42.333333333333336,3,2.3333333333333335,4
114700,39.5,39.333333333333336,2.8333333333333335,2.3333333333333335,2
114900,62.166666666666664,56.833333333333336,2.3333333333333335,2.5,4
115100,68.5,57.333333333333336,3.1666666666666665,3,2
115200,68.5,59.166666666666664,2.6666666666666665,2.8333333333333335,3
115300,67.33333333333333,58.833333333333336,3,2.8333333333333335,3
115400,69.5,57.666666666666664,3.5,2.8333333333333335,2
115700,56.333333333333336,50.333333333333336,3.5,3,1
115800,58,53.333333333333336,2.5,2.5,2
115900,42.333333333333336,40.833333333333336,2.3333333333333335,1.5,1
116100,56.333333333333336,54.666666666666664,2.3333333333333335,2.8333333333333335,2
116200,46,44.5,2.6666666666666665,2.6666666666666665,1
116300,43.166666666666664,44,3,2.3333333333333335,1
116400,60.833333333333336,62.166666666666664,2.8333333333333335,2.8333333333333335,4
116500,60.5,51.166666666666664,2.8333333333333335,2.8333333333333335,3
116600,57.333333333333336,46,2.8333333333333335,3,3
116700,43.666666666666664,43.666666666666664,3,2.6666666666666665,2
116800,54,39.666666666666664,3,2.8333333333333335,2
116900,50.5,36.666666666666664,3.6666666666666665,3.1666666666666665,3
117101,49.666666666666664,50.5,2.3333333333333335,3.1666666666666665,2
117102,48.166666666666664,46.166666666666664,3.3333333333333335,2.8333333333333335,1
117201,54.166666666666664,53.666666666666664,2.1666666666666665,3.5,1
117202,49.333333333333336,46.333333333333336,2,3.1666666666666665,2
117300,46.333333333333336,43.666666666666664,3.5,2.6666666666666665,2
117400,47.166666666666664,44.166666666666664,3,3.5,1
117500,54.333333333333336,40.833333333333336,3.1666666666666665,3.6666666666666665,1
117600,58,48.5,2,3.8333333333333335,1
117700,57.333333333333336,41.666666666666664,3,3.5,2
117800,36.833333333333336,38,3,3.1666666666666665,1
117900,52.166666666666664,35.666666666666664,3.6666666666666665,3.5,1
118101,61.5,61.833333333333336,3,2.8333333333333335,5
118200,62.666666666666664,56.333333333333336,3.3333333333333335,3,5
118301,65.16666666666667,59.166666666666664,3.1666666666666665,2.6666666666666665,3
118400,62.333333333333336,40.5,3.6666666666666665,2.6666666666666665,4
